time, device, operation, ts, tr_data_tag, time_end, latency
0, 1, SEND, 1024, 1, 148947, 148947
10000, 2, SEND, 1024, 2, 158947, 148947
20000, 1, SEND, 1024, 3, 297894, 277894
30000, 2, SEND, 1024, 4, 307894, 277894
40000, 1, SEND, 1024, 5, 446841, 406841
50000, 2, SEND, 1024, 6, 456841, 406841
60000, 1, SEND, 1024, 7, 595788, 535788
70000, 2, SEND, 1024, 8, 605788, 535788
80000, 1, SEND, 1024, 9, 744735, 664735
90000, 2, SEND, 1024, 10, 754735, 664735
100000, 1, SEND, 1024, 11, 893682, 793682
110000, 2, SEND, 1024, 12, 903682, 793682
120000, 1, SEND, 1024, 13, 683709297, 683589297
130000, 2, SEND, 1024, 14, 683709298, 683579298
140000, 1, SEND, 1024, 15, 1366524912, 1366384912
150000, 2, SEND, 1024, 16, 1366524913, 1366374913
160000, 3, REQUEST, 1024, 3, 446841, 286841
170000, 3, REQUEST, 1024, 12, 1052629, 882629
180000, 3, REQUEST, 1024, 7, 754736, 574736
190000, 3, REQUEST, 1024, 6, 605788, 415788
200000, 3, REQUEST, 1024, 15, 1366673859, 1366473859
893682, 0, SEND, 1024, 1, 683560350, 682666668
683709297, 0, SEND, 1024, 2, 1366375965, 682666668
