time, device, operation, ts, tr_data_tag, time_end, latency,,
0,1, SEND,128,1,18618,18618,,Errorenous 
50,2, SEND,128,2,18668,18618,,Not enough time for simulation to complete
100,3, SEND,128,3,18718,18618,,
150,1, SEND,1024,4,167563,167413,,
200,2, REQUEST,128,1,37236,37036,,
210,1, REQUEST,128,2,37286,37076,,
300,3, SEND,1024,5,167663,167363,,
400,3, SEND,1024,6,316608,316208,,
500,3, SEND,512,7,391081,390581,,
1000,1, REQUEST,128,3,74472,73472,,
1100,2, REQUEST,128,3,55854,54754,,
2000,3, SEND,1024,8,540026,538026,,
3000,3, SEND,1024,9,688971,685971,,
4000,3, SEND,1024,10,837916,833916,,
5000,3, SEND,1024,11,986861,981861,,
6000,3, SEND,1024,12,1135806,1129806,,
7000,3, SEND,1024,13,1284751,1277751,,
8000,3, SEND,1024,14,1433696,1425696,,
9000,3, SEND,1024,15,1582641,1573641,,
10000,3, SEND,1024,16,684398253,684388253,,
11000,3, SEND,1024,17,0,1.84467E+19,,
11500,2, REQUEST,1024,12,1284751,1273251,,
12000,1, REQUEST,1024,10,986861,974861,,
12100,3, REQUEST,512,7,465554,453454,,
1582641,0, SEND,1024,4,684249308,682666667,,
time, device, operation, ts, tr_data_tag, time_end, latency,,Cumulative Average
0,1, SEND,128,1,18618,18618,,2.06E+09
50,2, SEND,128,2,18668,18618,,
100,3, SEND,128,3,18718,18618,,
150,1, SEND,1024,4,167563,167413,,
200,2, REQUEST,128,1,37236,37036,,
210,1, REQUEST,128,2,37286,37076,,
300,3, SEND,1024,5,167663,167363,,
400,3, SEND,1024,6,316608,316208,,
500,3, SEND,512,7,391081,390581,,
1000,1, REQUEST,128,3,74472,73472,,
1100,2, REQUEST,128,3,55854,54754,,
2000,3, SEND,1024,8,540026,538026,,
3000,3, SEND,1024,9,688971,685971,,
4000,3, SEND,1024,10,837916,833916,,
5000,3, SEND,1024,11,986861,981861,,
6000,3, SEND,1024,12,1135806,1129806,,
7000,3, SEND,1024,13,1284751,1277751,,
8000,3, SEND,1024,14,1433696,1425696,,
9000,3, SEND,1024,15,1582641,1573641,,
10000,3, SEND,1024,16,684398253,684388253,,
11000,3, SEND,1024,17,684547198,684536198,,
11500,2, REQUEST,1024,12,1284751,1273251,,
12000,1, REQUEST,1024,10,986861,974861,,
12100,3, REQUEST,512,7,465554,453454,,
1582641,0, SEND,1024,4,684249308,682666667,,
